k,f_b,z,n,error_68_m,error_68_p,error_95_m,error_95_p
0.2050582217609055,0.825,0.125,10.0,-4.055874854923782e-05,3.1554910160111005e-05,-8.457007804672354e-05,5.7616132290383514e-05
0.2605171084697262,0.225,0.125,5.0,-0.0012498323657653245,0.001593878463476872,-0.0022233191699321474,0.0032135103956325572
0.2605171084697262,0.275,0.125,13.0,-0.0008447639259299181,0.0009611938083172181,-0.0015403273266637093,0.002087671109470443
0.2605171084697262,0.325,0.125,18.0,-0.0008230464416806438,0.0007940921693166948,-0.0017223729748978393,0.0014832502431873851
0.2605171084697262,0.375,0.125,26.0,-0.0006311865892455586,0.0005951353739917443,-0.0012902677167608147,0.0011331781120494093
0.2605171084697262,0.425,0.125,37.0,-0.00046585344555046524,0.0004663169130940929,-0.0009024429505264566,0.0008845387296344837
0.2605171084697262,0.475,0.125,41.0,-0.0003995664868594728,0.00042718019004677393,-0.0007635864618533585,0.0008412663224157565
0.2605171084697262,0.525,0.125,38.0,-0.0003144339336143012,0.0003307787458455231,-0.0005830093346210686,0.0006784576786535901
0.2605171084697262,0.575,0.125,44.0,-0.00027761540951472036,0.0002884712721079164,-0.0005182365958614954,0.0005907538305988089
0.2605171084697262,0.625,0.125,51.0,-0.00019891365435247054,0.00023417569041190951,-0.0003853696058895187,0.0004487663006254768
0.2605171084697262,0.675,0.125,77.0,-0.000210946136627452,0.00015325229911626264,-0.0004444640989913383,0.00028824904471462824
0.2605171084697262,0.725,0.125,95.0,-0.00012682261466083017,0.00012431631230398938,-0.00023277292578791737,0.00026134443840503807
0.2605171084697262,0.775,0.125,46.0,-0.00022246700148961625,0.0001978172341571254,-0.00044337067693133353,0.000367190236586937
0.2605171084697262,0.825,0.125,8.0,-6.341986881606976e-05,3.946794975337453e-05,-0.00013124134184204495,7.083953139729038e-05
0.3309750919646976,0.225,0.125,5.0,-0.0016532866298282877,0.0018522950509901382,-0.002773507445412582,0.0036300428022458366
0.3309750919646976,0.275,0.125,13.0,-0.0011312621940876453,0.0013275676149561279,-0.002167122869334219,0.0025658614671794228
0.3309750919646976,0.325,0.125,20.0,-0.0011311595622970727,0.0010675158022336575,-0.0022796955824706364,0.0020355917470000263
0.3309750919646976,0.375,0.125,25.0,-0.001003816263815318,0.0008555040490247359,-0.0019737635406417552,0.0016424119789953948
0.3309750919646976,0.425,0.125,39.0,-0.0007339576099403518,0.0006866817010326183,-0.0014298529006563725,0.0013530062801850214
0.3309750919646976,0.475,0.125,40.0,-0.0005074221641626498,0.0005447235832827581,-0.0009804911335675177,0.0011083113832863433
0.3309750919646976,0.525,0.125,37.0,-0.0004592477318330847,0.0004659902718534363,-0.0008656042796355779,0.0009582938043117487
0.3309750919646976,0.575,0.125,41.0,-0.00038912257669609864,0.00042376660975318046,-0.0007522040882583518,0.0008209556680088027
0.3309750919646976,0.625,0.125,51.0,-0.0002687931939585656,0.0002915378842249717,-0.0005135949374634374,0.0005786087656328714
0.3309750919646976,0.675,0.125,79.0,-0.00023972196866054905,0.00019558217884649496,-0.0005145345045878148,0.0003626587533330819
0.3309750919646976,0.725,0.125,95.0,-0.00015313434894729017,0.00016610804095253738,-0.00029045054347851256,0.00033731570656034114
0.3309750919646976,0.775,0.125,46.0,-0.0002661164090697531,0.00023527287721146202,-0.0005373997185885687,0.00043625195954344163
0.3309750919646976,0.825,0.125,8.0,-7.382626470057863e-05,5.13248002856348e-05,-0.00015577323166352132,9.44435912602527e-05
0.4204887431174574,0.225,0.125,5.0,-0.002846818604897261,0.0028537307318970305,-0.004889582761888045,0.0054339106430940426
0.4204887431174574,0.275,0.125,12.0,-0.0014146733489537801,0.0015108965263442523,-0.002675355120034338,0.0032236799853443466
0.4204887431174574,0.325,0.125,22.0,-0.001488558946928362,0.0014475512118990437,-0.0029746206361141374,0.002751416525937987
0.4204887431174574,0.375,0.125,25.0,-0.001391598229318301,0.0012181389727343266,-0.0028642642436719585,0.0022179483570019245
0.4204887431174574,0.425,0.125,37.0,-0.0010150473178099115,0.001007788411746702,-0.0020148775091643114,0.002005873514732072
0.4204887431174574,0.475,0.125,41.0,-0.0006964830102171858,0.0007042741752826861,-0.0013290364270052996,0.001542032477879209
0.4204887431174574,0.525,0.125,35.0,-0.0006427558390205146,0.0006781967670493976,-0.0012102858836210615,0.0013400456673036062
0.4204887431174574,0.575,0.125,39.0,-0.0005785773462125225,0.0006050221826029991,-0.0011269080444593939,0.0011768029159567345
0.4204887431174574,0.625,0.125,51.0,-0.00039749515704223966,0.00039362643521759493,-0.0007190324748438462,0.0007924742081122342
0.4204887431174574,0.675,0.125,80.0,-0.00030420396650563563,0.00027140985628072576,-0.0006646966665136627,0.0004924962592748993
